BOSPHORUS 18" ANTIQUE CHINA CYMBAL ,AUD $465, AUD $172 
Paiste 15" Big Beat Hi Hats ,AUD $759, AUD $530 
Paiste 16" Big Beat Hi Hats ,AUD $849, AUD $595 
Paiste 16" PSTX Swiss Thin Crash Cymbal ,AUD $219, AUD $159 
Paiste 18" PSTX Swiss Thin Crash Cymbal ,AUD $269, AUD $199 
Paiste 19" Big Beat ,AUD $559, AUD $399 
Paiste 20" 2002 Crash Cymbal ,AUD $599, AUD $429 
Paiste 20" 2002 Ride Cymbal ,AUD $599, AUD $429 
Paiste 20" Big Beat ,AUD $599, AUD $419 
Paiste 20" Signature Duo ride - Carl Palmer's Insp... ,AUD $839, AUD $589 
Paiste 2002 14" Medium Hi Hats , AUD $499,
Paiste 2002 16" China ,AUD $429, AUD $299 
Paiste 2002 16" Thin Crash ,AUD $429, AUD $309 
Paiste 2002 17" Crash ,AUD $469, AUD $309 
Paiste 2002 17" Thin Crash ,AUD $469, AUD $319 
Paiste 2002 18" Big Beat Multi Cymbal , AUD $519,AUD $469
Paiste 2002 18" Crash ,AUD $519, AUD $379 
Paiste 2002 18" Novo China ,AUD $519, AUD $379 
Paiste 2002 18" Power Crash ,AUD $519, AUD $379 
Paiste 2002 18" Thin Crash ,AUD $519, AUD $379 
Paiste 2002 19" Power Crash ,AUD $559, AUD $399 
Paiste 2002 19" Wild Crash ,AUD $559, AUD $399 
Paiste 2002 20" China ,AUD $599, AUD $409 
paiste 2002 24" Swish Ride - John 'JR' Robinson's Inspira... ,AUD $829, AUD $575 
Paiste 21" Big Beat ,AUD $649, AUD $454 
Paiste 22" 2002 Power Ride Cymbal ,AUD $699, AUD $499 
Paiste 22" 2002 Ride Cymbal ,AUD $699, AUD $499 
Paiste 22" Big Beat ,AUD $699, AUD $489 
Paiste 22" Signature Dry Heavy ride - Danny Carey'... ,AUD $939, AUD $659 
Paiste 24" 2002 Ride Cymbal ,AUD $829, AUD $579 
Paiste 24" Big Beat ,AUD $829, AUD $580 
Paiste 24" Formula 602 Modern Essentials ride , AUD $775,
Paiste 26" Giant Beat Ride ,AUD $999, AUD $699 
Paiste Alpha 16" Marching Cymbals Pair. ,AUD $769, AUD $699 
Paiste Alpha 18" Marching Cymbals Pair. ,AUD $989, AUD $659 
Paiste Danny Carey Monad Signature Dry Heavy Ride ,AUD $939, AUD $567 
Paiste Formula 17" 602 Modern Essentials crash ,AUD $699, AUD $491 
Paiste Formula 19" 602 Modern Essentials crash ,AUD $819, AUD $579 
Paiste Formula 602 14" Sound Edge Hi Hats ,AUD $859, AUD $599 
Paiste Formula 602 15" Medium Hi Hats ,AUD $899, AUD $649 
Paiste Formula 602 16" Thin Crash ,AUD $569, AUD $399 
Paiste Formula 602 18" Thin Crash ,AUD $729, AUD $519 
Paiste Formula 602 20" Medium Ride , AUD $569,
Paiste Giant Beat 14" Hi Hats ,AUD $699, AUD $499 
Paiste Giant Beat 15" Hi Hats ,AUD $769, AUD $549 
Paiste Giant Beat 18" Crash ,AUD $519, AUD $379 
Paiste Giant Beat 18" Thin Crash ,AUD $469, AUD $369 
Paiste Giant Beat 20" Crash ,AUD $649, AUD $459 
Paiste Giant Beat 20" Thin Crash ,AUD $649, AUD $459 
Paiste Giant Beat 24" Ride ,AUD $879, AUD $639 
Paiste Masters Dark Crash 17" ,AUD $639, AUD $449 
Paiste Masters Dark Crash 19" ,AUD $729, AUD $519 
Paiste Rude 10" Splash , AUD $209,
Paiste Rude 12" Shred Bell , AUD $219,
Paiste Rude 14" Blast China , AUD $279,
Paiste Rude 14" Hats , AUD $499,
Paiste Rude 14" Shred Bell , AUD $279,
Paiste Rude 14" Sound Edge Hi Hat , AUD $489,
Paiste Rude 16" Thin Crash , AUD $299,
Paiste Rude 17" Thin Crash , AUD $329,
Paiste Rude 17" Wyld Crash , AUD $329,
Paiste Rude 18" Thin Crash , AUD $369,
Paiste Rude 18" Wyld China , AUD $369,
Paiste Rude 18" Wyld Crash , AUD $379,
Paiste Rude 19" Crash/Ride , AUD $489,
Paiste Rude 19" Thin Crash , AUD $389,
Paiste Rude 19" Wyld Crash , AUD $429,
Paiste Rude 20" Ride/Crash , AUD $429,
Paiste Rude 20" Rude Basher , AUD $429,
Paiste Rude 20" Wyld Crash , AUD $429,
Paiste Rude 24" Mega Bell Ride , AUD $439,
Paiste Signature 13" Sound Edge Hi Hats ,AUD $699, AUD $489 
Paiste Signature 14" Heavy Hi Hats ,AUD $879, AUD $529 
Paiste Signature 14" Light Dark Energy Mark I Hi H... , AUD $829,
Paiste Signature 16" Crystal Thin Crash ,AUD $529, AUD $379 
Paiste Signature 16" Dark Energy Mark I Crash ,AUD $689, AUD $485 
Paiste Signature 16" Full Crash ,AUD $559, AUD $405 
Paiste Signature 16" Mellow Crash ,AUD $559, AUD $399 
Paiste Signature 16' Fast Crash ,AUD $559, AUD $330 
Paiste Signature 17" Power Crash ,AUD $629, AUD $449 
Paiste Signature 17' Fast Crash Cymbal ,AUD $629, AUD $435 
Paiste Signature 18" Crystal Thin Crash ,AUD $599, AUD $419 
Paiste Signature 18" Dark Energy Mark I Crash ,AUD $839, AUD $510 
Paiste Signature 18" Fast Crash ,AUD $679, AUD $469 
Paiste Signature 18" Heavy China ,AUD $679, AUD $419 
Paiste Signature 18" Thin China ,AUD $679, AUD $469 
Paiste Signature 19" Full Crash ,AUD $719, AUD $455 
Paiste Signature 19' Power Crash Cymbal ,AUD $719, AUD $469 
Paiste Signature 20' full Crash Cymbal ,AUD $839, AUD $559 
Paiste Signature Reflector 16" Full Crash ,AUD $559, AUD $399 
Paiste Traditional 17" Thin Crash ,AUD $659, AUD $499 
Paiste Traditional 18" Thin Crash ,AUD $729, AUD $510 
Paiste Twenty 16" Thin China ,AUD $449, AUD $314 
Paiste Twenty Masters 21" Dark Dry Ride ,AUD $839, AUD $639 
Paiste Twenty Masters Sweet Ride 20" ,AUD $799, AUD $649 
SABIAN  AAX 14" FREQUENCY HATS ,AUD $629, AUD $439 
SABIAN  AAX 8" AIR SPLASH CYMBAL ,AUD $229, AUD $159 
SABIAN  HHX 20" XPLOSION CRASH BRILLIANT CYMBAL ,AUD $659, AUD $469 
Sabian 10" Paragon Splash Cymbal , AUD $199,
SABIAN 10705XEB HHX 7" EVO SPLASH BR , AUD $229,
SABIAN 10759R HH 7" RADIA CUP CHIME , AUD $229,
SABIAN 10805 HH 8" SPLASH , AUD $249,
SABIAN 10805B HH 8" SPLASH BR , AUD $249,
SABIAN 10859R HH 8" RADIA CUP CHIME , AUD $269,
SABIAN 10959R HH 9" RADIA CUP CHIME , AUD $289,
SABIAN 11005 HH 10" SPLASH , AUD $249,
SABIAN 11005XB HHX 10" SPLASH BR , AUD $249,
SABIAN 11005XEB HHX 10" EVO SPLASH BR , AUD $249,
SABIAN 11005XN HHX 10" SPLASH , AUD $249,
SABIAN 11059CAL HH 10" ALIEN DISC , AUD $239,
SABIAN 11065 HH 10" DUO SPLASH , AUD $249,
SABIAN 11067 HH 10" CHINA KANG , AUD $269,
SABIAN 11067B HH 10" CHINA KANG BR , AUD $269,
SABIAN 11205XEB HHX 12" EVO SPLASH BR , AUD $309,
SABIAN 11205XN HHX 12" SPLASH , AUD $309,
SABIAN 11302XEB HHX 13" EVO HI-HATS BR , AUD $719,
SABIAN 11302XNJM HHX 13" FIERCE HATS , AUD $719,
SABIAN 11350 HH 13" FUSION HATS , AUD $719,
SABIAN 11402 HH 14" MEDIUM HATS , AUD $769,
SABIAN 11402L HH 14" X-CELERATOR HATS , AUD $769,
SABIAN 11402LB HH 14" X-CELERATOR HATS BRILLIANT , AUD $769,
SABIAN 11402XEB HHX 14" EVO HI-HATS BR , AUD $779,
SABIAN 11402XL HHX 14" X-CELERATOR HATS , AUD $779,
SABIAN 11402XLB HHX 14" X-CELERATOR HATS BR , AUD $779,
SABIAN 11402XLN HHX 14" LEGACY HATS , AUD $779,
SABIAN 11402XN HHX 14" STAGE HATS , AUD $779,
SABIAN 11402XNC HHX 14" CLICK HATS , AUD $779,
SABIAN 11406XN HHX 14" STUDIO CRASH , AUD $779,
SABIAN 11416XEB HHX 14" EVO MINI CHIN BR , AUD $399,
SABIAN 11450 HH 14" FUSION HATS , AUD $769,
SABIAN 11473 HH 14" DARK HATS , AUD $769,
SABIAN 11487XB HHX 14" XPLOSION CRASH BR , AUD $389,
SABIAN 11489XB HHX 14" GROOVE HATS BR , AUD $779,
SABIAN 11489XN HHX 14" GROOVE HATS , AUD $779,
SABIAN 11589XN HHX 15" GROOVE HATS , AUD $849,
SABIAN 11600 HH 16" OZONE CRASH , AUD $479,
SABIAN 11600XEB HHX 16" EVO OZONE CR BR , AUD $489,
SABIAN 11606 HH 16" THIN CRASH , AUD $479,
SABIAN 11606XB HHX 16" STUDIO CRASH BR , AUD $489,
SABIAN 11606XEB HHX 16" EVO CRASH BR , AUD $489,
SABIAN 11606XN HHX 16" STUDIO CRASH , AUD $489,
SABIAN 11607 HH 16" MEDIUM-THIN CRASH , AUD $479,
SABIAN 11607B HH 16" MEDTHIN CRASH BR , AUD $479,
SABIAN 11608 HH 16" MEDIUM CRASH , AUD $479,
SABIAN 11608XB HHX 16" STAGE CRASH BR , AUD $489,
SABIAN 11608XN HHX 16" STAGE CRASH , AUD $489,
SABIAN 11687XB HHX 16" XPLOSION CRASH BR , AUD $489,
SABIAN 11692XN HHX 16" X-TREME CRASH , AUD $489,
SABIAN 11706 HH 17" THIN CRASH , AUD $519,
SABIAN 11706XEB HHX 17" EVO CRASH BR , AUD $519,
SABIAN 11706XLN HHX 17" LEGACY CRASH , AUD $519,
SABIAN 11711XEB HHX 17" EVO EFFEKS CR BR , AUD $519,
SABIAN 11787XB HHX 17" XPLOSION CRASH BR , AUD $519,
SABIAN 11792XN HHX 17" X-TREME CRASH , AUD $519,
SABIAN 11800 HH 18" OZONE CRASH , AUD $569,
SABIAN 11800XEB HHX 18" EVO OZONE CR BR , AUD $569,
SABIAN 11806 HH 18" THIN CRASH , AUD $569,
SABIAN 11806XEB HHX 18" EVO CRASH BR , AUD $569,
SABIAN 11806XLN HHX 18" LEGACY CRASH , AUD $569,
SABIAN 11806XN HHX 18" STUDIO CRASH , AUD $596,
SABIAN 11807 HH 18" MEDIUM-THIN CRASH , AUD $569,
SABIAN 11808 HH 18" MEDIUM CRASH , AUD $569,
SABIAN 11808XN HHX 18" STAGE CRASH , AUD $569,
SABIAN 118102 HH 18" GARAGE RIDE , AUD $569,
SABIAN 11816 HH 18" CHINA , AUD $569,
SABIAN 11816XN HHX 18" CHINA , AUD $569,
SABIAN 11887XB HHX 18" XPLOSION CRASH BR , AUD $569,
SABIAN 11890XNJM HHX 18" FIERCE CRASH , AUD $569,
SABIAN 11891XN HHX 18" MANHTTN JAZZ CR , AUD $569,
SABIAN 11892XN HHX 18" X-TREME CRASH , AUD $569,
SABIAN 11987XB HHX 19" XPLOSION CRASH BR , AUD $599,
SABIAN 11990XNJM HHX 19" FIERCE CRASH , AUD $599,
SABIAN 11992XN HHX 19" X-TREME CRASH , AUD $599,
SABIAN 119OMX HHX 19" OMNI , AUD $599,
SABIAN 12006 HH 20" THIN CRASH , AUD $649,
SABIAN 120102 HH 20" GARAGE RIDE , AUD $649,
SABIAN 12010XLN HHX 20" LEGACY RIDE , AUD $659,
SABIAN 12012 HH 20" MEDIUM RIDE , AUD $629,
SABIAN 12012XEB HHX 20" EVO RIDE BR , AUD $659,
SABIAN 12012XN HHX 20" STAGE RIDE , AUD $659,
SABIAN 12016XN HHX 20" CHINA , AUD $659,
SABIAN 12016XNZ HHX 20" ZEN CHINA , AUD $659,
SABIAN 12030 HH 20" LEOPARD RIDE , AUD $649,
SABIAN 12065 HH 20" DUO RIDE , AUD $649,
SABIAN 12065B HH 20" DUO RIDE BR , AUD $649,
SABIAN 12085XN HHX 20" MANHTTN JAZZ RIDE , AUD $659,
SABIAN 12087XB HHX 20" XPLOSION CRASH BR , AUD $659,
SABIAN 12110XLN HHX 21" LEGACY RIDE , AUD $699,
SABIAN 12112XNJM HHX 21" FIERCE RIDE , AUD $699,
SABIAN 12118XNJD HHX 21" 3 POINT RIDE , AUD $699,
SABIAN 12172 HH 21" RAW-BELL DRY RIDE , AUD $719,
SABIAN 12172XN HHX 21" RAW BELL DRY RIDE , AUD $699,
SABIAN 12178 HH 21" VINTAGE RIDE , AUD $719,
SABIAN 12189XB HHX 21" GROOVE RIDE BR , AUD $699,
SABIAN 12189XN HHX 21" GROOVE RIDE , AUD $699,
SABIAN 12206 HH 22" THIN CRASH , AUD $779,
SABIAN 1220MX HHX 22" OMNI , AUD $779,
SABIAN 12233XLN HHX 22" LEGACY HVY RIDE , AUD $779,
SABIAN 12249 HH 22" ROCK RIDE , AUD $779,
SABIAN 12249B HH 22" ROCK RIDE BR , AUD $779,
SABIAN 12258 HH 22" POWER BELL RIDE , AUD $779,
SABIAN 12280K HH 22" KING RIDE BIGUGLY , AUD $819,
SABIAN 12280N HH 22" NOVA RIDE BIGUGLY , AUD $819,
SABIAN 12280P HH 22" PANDORA RIDE BIGUGL , AUD $819,
SABIAN 12280XPH HHX 22" PHOENIX BIGUGLY , AUD $819,
SABIAN 12285XN HHX 22" MANHTTN JAZZ RIDE , AUD $779,
SABIAN 12480K HH 24" KING RIDE BIGUGLY , AUD $929,
SABIAN 12480N HH 24" NOVA RIDE BIGUGLY , AUD $929,
SABIAN 12480P HH 24" PANDORA RIDE BIGUGL , AUD $929,
SABIAN 14" HH VANGUARD HATS , AUD $739,
SABIAN 15005MPM HH 10" MAX STAX , AUD $499,
SABIAN 15005MPMB HH 10" MAX STAX BR , AUD $499,
SABIAN 16" HH VANGUARD CRASH , AUD $459,
SABIAN 18" HH VANGUARD CRASH , AUD $559,
SABIAN 20" HH VANGUARD RIDE , AUD $599,
SABIAN 20605XB AAX 6" SPLASH BR , AUD $179,
SABIAN 20705XMPB AAX 7" MAX SPLASH BR , AUD $199,
SABIAN 20805 AA 8" SPLASH , AUD $219,
SABIAN 20805X AAX 8" SPLASH , AUD $219,
SABIAN 20805XAB AAX 8" AIRSPLASH BR , AUD $229,
SABIAN 20805XB AAX 8" SPLASH BR , AUD $229,
SABIAN 20816 AA 8" CHINA SPLASH , AUD $219,
SABIAN 20905XMP AAX 9" MAX SPLASH , AUD $239,
SABIAN 20905XMPB AAX 9" MAX SPLASH BR , AUD $239,
SABIAN 21000X AAX 10" OZONE SPLASH , AUD $259,
SABIAN 21005 AA 10" SPLASH , AUD $249,
SABIAN 21005MB AA 10" METAL SPLASH , AUD $249,
SABIAN 21005X AAX 10" SPLASH , AUD $259,
SABIAN 21005XA AAX 10" AIR SPLASH , AUD $269,
SABIAN 21005XAB AAX 10" AIR SPLASH BR , AUD $269,
SABIAN 21005XB AAX 10" SPLASH BR , AUD $259,
SABIAN 21105XMP AAX 11" MAX SPLASH , AUD $279,
SABIAN 21105XMPB AAX 11" MAX SPLASH BR , AUD $279,
SABIAN 21187XB AAX 11" XPLSION SPLASH BR , AUD $269,
SABIAN 21200X AAX 12" OZONE SPLASH , AUD $279,
SABIAN 21205X AAX 12" SPLASH , AUD $279,
SABIAN 21205XB AAX 12" SPLASH BR , AUD $279,
SABIAN 21216 AA 12" MINI CHINA , AUD $299,
SABIAN 21216XB AAX 12" MINI CHINA BR , AUD $279,
SABIAN 21302XL AAX 13" XCELERATOR HATS , AUD $599,
SABIAN 21302XLB AAX 13" XCELERATOR H BR , AUD $599,
SABIAN 21350X AAX 13" FUSION HATS , AUD $599,
SABIAN 21350XB AAX 13" FUSION HATS BR , AUD $599,
SABIAN 21360 AA 13" EL SABOR SALSA SPLSH , AUD $309,
SABIAN 21401X AAX 14" STUDIO HATS , AUD $619,
SABIAN 21401XB AAX 14" STUDIO HATS BR , AUD $619,
SABIAN 21402 AA 14" MEDIUM HATS , AUD $639,
SABIAN 2140287XB AAX 14" XPLS HATS BR , AUD $619,
SABIAN 21402X AAX 14" STAGE HATS , AUD $619,
SABIAN 21402XBV AAX 14" V-HATS , AUD $619,
SABIAN 21402XL AAX 14" XCELERATOR HATS , AUD $619,
SABIAN 21402XLB AAX 14" XCEL HATS BR , AUD $619,
SABIAN 21403 AA 14" ROCK HATS , AUD $639,
SABIAN 21403MB AA 14" METAL HATS , AUD $639,
SABIAN 21403XB AAX 14" METAL HATS BR , AUD $619,
SABIAN 21406X AAX 14" STUDIO CRASH , AUD $329,
SABIAN 21416 AA 14" MINI CHINA , AUD $349,
SABIAN 21416X AAX 14" MINI CHINA , AUD $329,
SABIAN 21416XB AAX 14" MINI CHINA BR , AUD $329,
SABIAN 21468X AAX 14" DARK CRASH , AUD $329,
SABIAN 21485XB AAX 14" XPLOSION FAST CR , AUD $329,
SABIAN 21487XB AAX 14" XPLOSION CRASH BR , AUD $329,
SABIAN 214XFHN AAX 14" FREQ HATS , AUD $629,
SABIAN 21506XB AAX 15" STUDIO CRASH BR , AUD $369,
SABIAN 21585XB AAX 15" XPLOSION FAST CR , AUD $369,
SABIAN 21586XB AAX 15" XTREME CHINA BR , AUD $369,
SABIAN 21587XB AAX 15" XPLOSION CRASH BR , AUD $369,
SABIAN 21600X AAX 16" O-ZONE CRASH , AUD $389,
SABIAN 21600XB AAX 16" O-ZONE CRASH B , AUD $389,
SABIAN 2160287XB AAX 16" XPLS HATS BR , AUD $769,
SABIAN 21606 AA 16" THIN CRASH , AUD $399,
SABIAN 21606X AAX 16" STUDIO CRASH , AUD $379,
SABIAN 21606XB AAX 16" STUDIO CRASH BR , AUD $379,
SABIAN 21606XBV AAX 16" V-CRASH , AUD $379,
SABIAN 21606XNVD AAX 16" SATURATION CR , AUD $379,
SABIAN 21607 AA 16" MED-THIN CRASH , AUD $399,
SABIAN 2160772B AA 16" RAW BELL CRASH , AUD $399,
SABIAN 21608 AA 16" MED CRASH , AUD $399,
SABIAN 21608X AAX 16" STAGE CRASH , AUD $379,
SABIAN 21608XB AAX 16" STAGE CRASH BR , AUD $379,
SABIAN 21609 AA 16" ROCK CRASH , AUD $399,
SABIAN 21609MB AA 16" METAL CRASH , AUD $399,
SABIAN 21609XB AAX 16" METAL CRASH BR , AUD $379,
SABIAN 21616 AA 16" CHINA , AUD $399,
SABIAN 21616X AAX 16" CHINA , AUD $399,
SABIAN 21616XB AAX 16" CHINA BR , AUD $399,
SABIAN 21660 AA 16" EL SABOR CRASH , AUD $399,
SABIAN 21660B AA 16" EL SABOR CRASH BR , AUD $399,
SABIAN 21660XH AAX 16" EL SABOR PICAN CR , AUD $379,
